index,sample,fluoroscein (uM),sulforhodamine (uM),cascade blue (uM),NanoCym beads (1/mL),double distilled water (uL),PBS (uL),http://igem.org/engineering/test_execution/ActivityEdgeFlow239/LiteralIdentified1/Dataset1/SampleData1,wavelength
A11,H5,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,G6,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,H6,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,G7,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,H7,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,G8,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,H8,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,G9,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,H9,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,G10,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,H10,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,G11,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,H11,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,G12,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A11,H12,0.0048828125,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,G1,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,H1,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,G2,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,H2,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,G3,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,H3,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,G4,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,H4,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,G5,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
A12,H5,0.0,0.0,0.0,0.0,0,200,,http://igem.org/engineering/interlab/CallBehaviorAction64/ValuePin1/LiteralIdentified1/Measure1
